Coverage,Variant_Count_Exon,Variant_Count_CDS,Nucleotide_Count_Exon,Nucleotide_Count_CDS
1,34,16,307726,199297
2,16,25,54997,315258
3,132,142,818168,494142
4,82,62,216944,459586
5,166,104,522638,387823
6,134,284,714359,927010
7,169,108,574899,297984
8,71,82,275749,213897
9,225,23,373394,484698
10,113,274,255736,419676
11,72,112,277666,371997
12,95,0,478184,121912
13,15,144,154471,340364
14,42,54,287465,181808
15,33,4,166628,211801
16,164,34,328187,236746
17,418,356,221841,251067
18,15,193,358801,431068
19,541,34,463216,309238
20,181,637,586526,626022
21,933,1117,4379727,4848107
22,20234,19667,36765250,33918163
23,666,1400,3375503,6182355
24,146,90,780579,358392
25,457,452,1584113,807190
26,288,151,723001,1151280
27,609,725,957173,1538981
28,1067,1114,2452760,3088991
29,2294,3142,6706478,7371832
30,18761,18787,44957720,44018860
31,187161,157757,502528913,439416934
32,203845,225843,476002932,519079341
33,19354,24700,33132582,51381727
34,701,1464,1382626,2205685
35,0,13,178753,470237
36,21,1,39051,115954
37,91,0,135129,26285
38,0,0,17957,32928
39,0,91,52691,81704
40,2,0,54086,43557
41,2,2,15873,50567
42,0,90,3635,88828
43,1,1,5338,11872
44,90,0,58166,1758
45,603,2,330954,18216
46,0,0,0,12762
47,0,0,47656,0
48,0,0,54166,84980
49,0,0,62593,62593
50,0,0,0,0
51,16,0,22154,0
52,60,0,30569,0
53,0,0,738,0
54,0,0,0,0
55,0,663,2935,364458
56,0,0,827,0
57,0,0,13136,14220
58,0,0,60343,205176
59,0,0,145090,0
60,0,0,0,0
61,0,0,0,738
62,0,100,0,89184
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,13369,8582
68,0,0,84142,0
69,0,0,0,96647
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,109,0,51169
74,0,0,61314,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,61314
80,0,0,0,0
81,109,16,51169,22154
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,44,0,43671
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,7087,7087
